毒力基因	平均深度	覆盖率	支持序列数	VFID	菌株	毒力功能	毒力机制
pilS	2424.48	1.0	18295	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilF	1159.89	1.0	16274	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilS	1610.07	1.0	16084	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilU	1557.92	1.0	16076	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilT	1458.25	1.0	13009	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilG	1050.98	1.0	11209	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilT2	1125.63	1.0	10758	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilD	1351.93	1.0	10127	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilM	973.52	1.0	9287	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilH	1366.2	1.0	8126	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
lipA	1517.96	1.0	25865	VF0079	Neisseria meningitidis	Mediate resistance to both phagocytosis and complement-mediated killing; Opa- and Opc-mediated invasion into host cells is also blocked by the expression of a capsule	
lipB	1369.99	1.0	14337	VF0079	Neisseria meningitidis	Mediate resistance to both phagocytosis and complement-mediated killing; Opa- and Opc-mediated invasion into host cells is also blocked by the expression of a capsule	
siaA/synA	1264.54	1.0	11847	VF0079	Neisseria meningitidis	Mediate resistance to both phagocytosis and complement-mediated killing; Opa- and Opc-mediated invasion into host cells is also blocked by the expression of a capsule	
ctrA	1175.23	1.0	11758	VF0079	Neisseria meningitidis	Mediate resistance to both phagocytosis and complement-mediated killing; Opa- and Opc-mediated invasion into host cells is also blocked by the expression of a capsule	
siaC/synC	1332.17	1.0	11639	VF0079	Neisseria meningitidis	Mediate resistance to both phagocytosis and complement-mediated killing; Opa- and Opc-mediated invasion into host cells is also blocked by the expression of a capsule	
ctrB	1113.04	1.0	10739	VF0079	Neisseria meningitidis	Mediate resistance to both phagocytosis and complement-mediated killing; Opa- and Opc-mediated invasion into host cells is also blocked by the expression of a capsule	
ctrC	1218.26	1.0	8556	VF0079	Neisseria meningitidis	Mediate resistance to both phagocytosis and complement-mediated killing; Opa- and Opc-mediated invasion into host cells is also blocked by the expression of a capsule	
siaB/synB	1347.96	1.0	8033	VF0079	Neisseria meningitidis	Mediate resistance to both phagocytosis and complement-mediated killing; Opa- and Opc-mediated invasion into host cells is also blocked by the expression of a capsule	
